Ref,PosX,PosY,Side,Rot
C8,26.898375,23.025163,bottom,90
C9,29.748375,29.395163,bottom,-90
C10,28.748375,26.895163,bottom,180
C11,22.648375,27.295163,bottom,0
C12,33.478375,28.895163,bottom,-90
C13,22.748375,23.395163,bottom,0
C14,27.748375,29.395163,bottom,-90
C15,25.898375,29.395163,bottom,-90
C16,28.748375,25.395163,bottom,180
C17,25.148375,23.395163,bottom,90
C18,29.148375,22.545163,bottom,180
C19,24.246084,29.761439,bottom,-90
C20,22.748375,25.395163,bottom,0
C21,22.668375,28.295163,bottom,0
C34,62.248375,38.905163,bottom,180
C35,55.998375,38.395163,bottom,-90
J3,81.648375,51.645163,bottom,-90
PD1,57.248375,54.832663,bottom,-90
PD2,59.748375,54.832663,bottom,-90
R1,50.748375,52.895163,bottom,90
R2,48.248375,52.895163,bottom,90
R4,34.248375,54.395163,bottom,-90
R5,32.248375,31.395163,bottom,180
R7,57.248375,52.332663,bottom,0
R8,59.748375,52.332663,bottom,0
R9,27.248375,34.895163,bottom,-90
R10,28.548375,33.065163,bottom,-90
SW1,39.290275,47.786641,bottom,180
SW2,39.248375,53.385163,bottom,180
U7,59.498375,44.145163,bottom,180
C1,22.268375,18.895163,top,180
C2,28.148375,13.745163,top,180
C3,26.248375,42.395163,top,0
C4,55.248375,36.895163,top,-90
C5,28.748375,32.645163,top,0
C6,28.748375,33.895163,top,0
C7,42.248375,41.395163,top,-90
C22,74.748375,26.895163,top,0
C23,80.748375,41.395163,top,0
C24,83.748375,35.395163,top,-90
C25,86.748375,34.895163,top,-90
C26,70.228375,37.895163,top,180
C27,85.206475,44.796641,top,-90
C27,55.248375,32.895163,top,-90
C28,69.698375,40.895163,top,0
C29,58.248375,41.395163,top,-90
C30,71.748375,32.375163,top,-90
C31,70.998375,48.645163,top,-90
C32,7.748375,11.645163,top,90
C33,10.248375,10.895163,top,90
CR1,52.416775,47.395163,top,180
J1,49.748375,53.895163,top,180
J2,23.918375,3.395163,top,90
J4,64.748375,54.685163,top,0
J5,88.224775,31.715163,top,0
J6,21.168375,54.395163,top,90
J7,3.998375,44.595163,top,0
J8,74.138375,4.395163,top,-90
J9,12.248375,53.475163,top,0
J10,60.998375,48.895163,top,-90
J11,12.498375,30.170163,top,0
J12,8.248375,30.185163,top,0
J14,33.168375,15.395163,top,90
L1,28.998375,35.645163,top,0
R3,28.612923,15.53268,top,-90
R6,29.498375,43.395163,top,0
R11,41.748375,6.405163,top,90
R12,38.998375,6.415163,top,90
R13,36.498375,6.415163,top,90
R14,34.248375,6.415163,top,90
R15,85.248375,40.395163,top,-90
R16,31.248375,6.385163,top,90
R17,28.748375,6.385163,top,90
R18,29.998375,8.655163,top,-90
R19,26.248375,6.385163,top,90
R20,27.498375,8.635163,top,-90
R21,84.248375,37.895163,top,-90
R22,23.748375,6.405163,top,90
R23,25.248375,8.655163,top,-90
R24,22.748375,8.655163,top,-90
R25,71.748375,34.905163,top,90
R26,69.248375,34.905163,top,90
R27,58.248375,43.895163,top,90
R28,71.748375,29.895163,top,90
R29,69.248375,32.395163,top,90
R30,85.248375,28.395163,top,180
R31,15.998375,25.395163,top,180
R32,15.998375,27.645163,top,180
R33,69.206475,29.796641,top,-90
R34,86.956475,40.296641,top,-90
U1,21.998375,38.895163,top,90
U2,47.323375,47.395163,top,180
U3,48.748375,41.395163,top,0
U4,25.798375,26.345163,top,0
U5,81.553375,30.585163,top,180
U6,66.053375,30.585163,top,180
Y1,25.748375,16.395163,top,0
