Designator,Mid X,Mid Y,Layer,Rotation
C3,62.248375,38.905163,bottom,180
C5,55.998375,38.395163,bottom,-90
C10,26.898375,23.025163,bottom,90
C11,29.748375,29.395163,bottom,-90
C12,28.748375,26.895163,bottom,180
C13,22.648375,27.295163,bottom,0
C14,33.478375,28.895163,bottom,-90
C15,22.748375,23.395163,bottom,0
C16,27.748375,29.395163,bottom,-90
C17,25.898375,29.395163,bottom,-90
C18,28.748375,25.395163,bottom,180
C19,25.148375,23.395163,bottom,90
C20,29.148375,22.545163,bottom,180
C21,24.246084,29.761439,bottom,-90
C22,22.748375,25.395163,bottom,0
C23,22.668375,28.295163,bottom,0
J6,81.656234,51.652825,bottom,-90
PD1,57.248375,54.832663,bottom,-90
PD2,59.748375,54.832663,bottom,-90
R1,50.748375,52.895163,bottom,90
R2,48.248375,52.895163,bottom,90
R4,34.248375,54.395163,bottom,-90
R5,32.248375,31.395163,bottom,180
R7,57.248375,52.332663,bottom,0
R8,59.748375,52.332663,bottom,0
R9,27.248375,34.895163,bottom,-90
R10,28.548375,33.065163,bottom,-90
SW1,39.290275,47.786641,bottom,180
SW2,39.248375,53.385163,bottom,180
U1,59.498375,44.145163,bottom,180
C1,22.268375,18.895163,top,180
C2,28.148375,13.745163,top,180
C4,26.248375,42.395163,top,0
C6,55.248375,36.895163,top,-90
C7,28.748375,32.645163,top,0
C8,28.748375,33.895163,top,0
C9,42.248375,41.395163,top,-90
C24,85.248375,44.265163,top,-90
C25,82.498375,44.265163,top,-90
C26,75.998375,24.245163,top,180
C27,69.248375,36.245163,top,180
C28,69.998375,40.475163,top,90
C29,82.748375,35.245163,top,180
C30,82.518375,39.745163,top,180
C31,67.748375,25.245163,top,-90
C32,68.248375,30.495163,top,0
C33,65.268375,28.245163,top,180
C34,74.998375,46.495163,top,90
C35,70.748375,48.745163,top,-90
C36,7.748375,11.645163,top,90
C37,10.248375,10.895163,top,90
CR1,52.416775,47.395163,top,180
J1,60.998375,48.895163,top,-90
J2,49.748375,53.895163,top,180
J3,33.168375,15.395163,top,90
J4,12.248375,53.475163,top,0
J5,23.918375,3.395163,top,90
J7,21.168375,54.395163,top,90
J8,3.998375,44.595163,top,0
J9,8.248375,34.535163,top,0
J10,12.498375,34.520163,top,0
J11,88.224775,31.715163,top,0
J12,64.748375,54.770163,top,0
J13,74.138375,4.395163,top,-90
J14,11.248375,26.495163,top,-90
L1,28.998375,35.645163,top,180
R3,28.612923,15.53268,top,-90
R6,29.498375,43.395163,top,0
R11,41.748375,6.405163,top,90
R12,38.998375,6.415163,top,90
R13,36.498375,6.415163,top,90
R14,34.248375,6.415163,top,90
R15,31.248375,6.385163,top,90
R16,28.748375,6.385163,top,90
R17,29.998375,8.655163,top,-90
R18,26.248375,6.385163,top,90
R19,69.998375,34.495163,top,-90
R20,67.998375,33.245163,top,-90
R21,82.748375,31.995163,top,180
R22,82.748375,33.995163,top,180
R23,27.498375,8.635163,top,-90
R24,23.748375,6.405163,top,90
R25,25.248375,8.655163,top,-90
R26,22.748375,8.655163,top,-90
R27,82.748375,27.995163,top,0
R28,78.498375,24.245163,top,-90
R29,68.498375,38.245163,top,90
R30,82.748375,29.745163,top,0
R31,69.998375,37.985163,top,-90
R32,85.498375,32.245163,top,90
R33,82.748375,37.495163,top,180
R34,68.258375,26.995163,top,0
R35,68.248375,28.495163,top,0
R36,15.998375,27.645163,top,180
R37,15.988375,25.995163,top,180
R38,75.498375,44.745163,top,0
R39,85.248375,28.395163,top,180
R40,15.748375,24.245163,top,180
U2,21.998375,38.895163,top,-90
U3,47.323375,47.395163,top,180
U4,48.748375,41.395163,top,0
U5,25.798375,26.345163,top,0
,,,,
,,,,
Y1,25.748375,16.395163,top,0
