Reference,Value,Footprint,Footprint,
"C1,C2",15p,Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0402_1005Metric,C1548
"C3,C5",22uF,Capacitor_SMD:C_0805_2012Metric,Capacitor_SMD:C_0805_2012Metric,C5674
"C4,C10,C13,C15,C16,C17,C18,C19,C20,C21,C22,C23",100n,Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0402_1005Metric,C1525
"C6,C9,C14",10u,Capacitor_SMD:C_0805_2012Metric,Capacitor_SMD:C_0805_2012Metric,C15850
"C7,C8,C11,C12",4.7u,Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0402_1005Metric,C23733
"C24,C25",0.1uF,Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0402_1005Metric,C77012
"C26,C36",10uF,Capacitor_SMD:C_0805_2012Metric,Capacitor_SMD:C_0805_2012Metric,C15850
"C27,C28,C29,C30,C31,C32",22nF,Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0402_1005Metric,C1532
C33,1uF,Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0402_1005Metric,C52923
C34,0.05uF,Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0402_1005Metric,C1525
C35,200uF,Capacitor_SMD:CP_Elec_6.3x4.5,Capacitor_SMD:CP_Elec_6.3x4.5,C51953393
C37,.1uF,Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0402_1005Metric,C1525
CR1,BAT60JFILM,diode shite:CR_60JFILM_STM-M,diode shite:CR_60JFILM_STM-M,C133103
,,,,
J2,USB_C_Receptacle_USB2.0_14P,Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV,Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
L1,3.3u,Custom:L_pol_2016,Custom:L_pol_2016,C42411119
PD1,RED,LED_SMD:LED_0805_2012Metric,LED_SMD:LED_0805_2012Metric,C84256
PD2,GREEN,LED_SMD:LED_0805_2012Metric,LED_SMD:LED_0805_2012Metric,C2297
"R1,R2,R7",5.1k,Resistor_SMD:R_0402_1005Metric,Resistor_SMD:R_0402_1005Metric,C25905
"R3,R4,R6,R8,R11,R12,R13,R14,R15,R16,R18,R24,R28,R36,R37,R40",1k,Resistor_SMD:R_0402_1005Metric,Resistor_SMD:R_0402_1005Metric,C11702
R5,33,Resistor_SMD:R_0402_1005Metric,Resistor_SMD:R_0402_1005Metric,C25105
"R9,R10",27,Resistor_SMD:R_0402_1005Metric,Resistor_SMD:R_0402_1005Metric,C20625731
"R17,R23,R25,R26,R39",10k,Resistor_SMD:R_0402_1005Metric,Resistor_SMD:R_0402_1005Metric,C25531
"R19,R20,R21,R22",100k,Resistor_SMD:R_0402_1005Metric,Resistor_SMD:R_0402_1005Metric,C176119
R27,10k,Resistor_SMD:R_0402_1005Metric,Resistor_SMD:R_0402_1005Metric,C25531
"R29,R30,R31,R32,R33,R34,R35",2k,Resistor_SMD:R_0402_1005Metric,Resistor_SMD:R_0402_1005Metric,C4109
R38,10,Resistor_SMD:R_0402_1005Metric,Resistor_SMD:R_0402_1005Metric,C174147
SW1,BOOTSEL,Button_Switch_SMD:SW_SPST_PTS647_Sx38,Button_Switch_SMD:SW_SPST_PTS647_Sx38,C2689502
SW2,RESET,Button_Switch_SMD:SW_SPST_PTS647_Sx38,Button_Switch_SMD:SW_SPST_PTS647_Sx38,C2689502
U1,AMS1117-5.0,Package_TO_SOT_SMD:SOT-223-3_TabPin2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6187
U2,W25Q128JVS,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,C97521
U3,USBLC6-2P6,Package_TO_SOT_SMD:SOT-666,Package_TO_SOT_SMD:SOT-666,C15999
U4,NCP1117-3.3_SOT223,Package_TO_SOT_SMD:SOT-223-3_TabPin2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C26537
U5,RP2350_80QFN,Package_DFN_QFN:QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias,Package_DFN_QFN:QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias,C42415655
,,,,
,,,,
Y1,ABM8-272-T3,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
